ID1	ID2	MeSH Tree Number 1	MeSH Tree Number 2
D000071243	D000096724	C01.920.852.937	C01.920.852
D000071257	D011183	C23.550.767.181	C23.550.767
D000071257	D003693	C10.597.606.337.500.500	C10.597.606.337.500
D000071257	D003693	C23.888.592.604.339.500.500	C23.888.592.604.339.500
D000071297	D015658	C01.778.640.400.044	C01.778.640.400
D000071297	D015658	C01.925.782.815.616.400.044	C01.925.782.815.616.400
D000071297	D015658	C01.221.250.875.044	C01.221.250.875
D000071297	D015658	C12.100.937.640.400.044	C12.100.937.640.400
D000071297	D015658	C20.673.480.044	C20.673.480
D000071297	D015658	C01.925.813.400.044	C01.925.813.400
D000071297	D015658	C01.221.812.640.400.044	C01.221.812.640.400
D000071298	D003643	C23.550.260.127	C23.550.260
D000071378	D005531	C05.330.488.050	C05.330.488
D000071380	D005534	C17.800.321.063	C17.800.321
D000071380	D003240	C17.300.349	C17.300
D000071380	D005534	C05.360.375	C05.360
D000071380	D003286	C05.651.197.369	C05.651.197
D000071380	D005350	C04.557.450.565.590.340.705	C04.557.450.565.590.340
D000071562	D050723	C26.404.038	C26.404
D000071576	D014947	C26.257	C26
D000071697	D012877	C23.888.885.281	C23.888.885
D000071698	D001327	C20.111.576	C20.111
D000071698	D003920	C18.452.394.750.714	C18.452.394.750
D000071698	D003920	C19.246.656	C19.246
D000071699	D009461	C23.888.592.057	C23.888.592
D000071699	D009461	C10.597.057	C10.597
D000071699	D015837	C09.218.568.900.442	C09.218.568.900
D000071700	D058499	C11.768.585.658.250	C11.768.585.658
D000071700	D015785	C11.270.152	C11.270
D000071700	D015785	C16.320.290.152	C16.320.290
D000071896	D012816	C23.888.541	C23.888
D000071956	D003288	C26.974.250.875	C26.974.250
D000071956	D006335	C26.891.375.750	C26.891.375
D000071960	D002278	C04.557.470.200.240.187	C04.557.470.200.240
D000071960	D001943	C17.800.090.500.130	C17.800.090.500
D000071960	D001943	C04.588.180.130	C04.588.180
D000072039	D004204	C26.289.336	C26.289
D000072039	D050723	C26.404.026	C26.404
D000072039	D004204	C05.550.518.336	C05.550.518
D000072042	D000072039	C26.289.336.875	C26.289.336
D000072042	D000072039	C26.404.026.500	C26.404.026
D000072042	D000072039	C05.550.518.336.875	C05.550.518.336
D000072281	D008206	C15.604.338	C15.604
D000072656	D011183	C23.550.767.082	C23.550.767
D000072656	D008209	C15.604.496.160	C15.604.496
D000072657	D009203	C14.907.585.500.875	C14.907.585.500
D000072657	D009203	C14.280.647.500.875	C14.280.647.500
D000072657	D009203	C23.550.717.489.750.875	C23.550.717.489.750
D000072657	D009203	C23.550.513.355.750.875	C23.550.513.355.750
D000072658	D009203	C23.550.717.489.750.469	C23.550.717.489.750
D000072658	D009203	C14.280.647.500.469	C14.280.647.500
D000072658	D009203	C23.550.513.355.750.469	C23.550.513.355.750
D000072658	D009203	C14.907.585.500.656	C14.907.585.500
D000072659	D010900	C10.228.140.617.738.275	C10.228.140.617.738
D000072659	D010900	C19.700.419	C19.700
D000072660	D007248	C12.100.500.430.877	C12.100.500.430
D000072660	D007248	C12.100.750.700.877	C12.100.750.700
D000072660	D007248	C12.200.294.430.877	C12.200.294.430
D000072661	D030342	C16.320.184	C16.320
D000072661	D000015	C16.131.077.245	C16.131.077
D000072662	D065308	C23.149.625	C23.149
D000072663	D020763	C23.300.940	C23.300
D000072676	D009057	C07.160	C07
D000072716	D010146	C23.888.592.612.212	C23.888.592.612
D000072717	D020763	C23.300.955	C23.300
D000072736	D064420	C25.100.844	C25.100
D000072742	D009181	C01.150.703.492	C01.150.703
D000072836	D014947	C26.859	C26
D000072837	D002869	C23.550.210.310	C23.550.210
D000073296	D020969	C23.550.291.898	C23.550.291
D000073376	D004827	C10.228.140.490.493	C10.228.140.490
D000073397	D009784	C24.580	C24
D000073436	D020763	C23.300.818	C23.300
D000073496	D010335	C23.550.359	C23.550
D000073605	D012282	C01.150.252.400.789.725.400	C01.150.252.400.789.725
D000073605	D017282	C01.920.930.887	C01.920.930
D000073617	D065227	C15.378.962.500	C15.378.962
D000073617	D065227	C20.920.500	C20.920
D000073617	D055371	C08.381.520.500.500	C08.381.520.500
D000073618	D006566	C01.925.256.466.930	C01.925.256.466
D000073818	D010146	C23.888.592.612.860	C23.888.592.612
D000073839	D025063	C16.131.260.923	C16.131.260
D000073839	D006330	C14.280.400.970	C14.280.400
D000073839	D025063	C16.320.180.923	C16.320.180
D000073839	D006330	C16.131.240.400.965	C16.131.240.400
D000073839	D000015	C16.131.077.919	C16.131.077
D000073839	D008607	C10.597.606.360.835	C10.597.606.360
D000073839	D006330	C14.240.400.970	C14.240.400
D000073842	D025063	C16.131.260.932	C16.131.260
D000073842	D000015	C16.131.077.929	C16.131.077
D000073842	D006330	C16.131.240.400.968	C16.131.240.400
D000073842	D025063	C16.320.180.932	C16.320.180
D000073842	D006330	C14.240.400.975	C14.240.400
D000073842	D006330	C14.280.400.975	C14.280.400
D000073872	D054079	C16.131.240.850.984	C16.131.240.850
