ID1	ID2
MI0000790	MI0000789
MI0000790	MI0003677
MI0000790	MI0003530
MI0000790	MI0001735
MI0000790	MI0000777
MI0000790	MI0003514
MI0000790	MI0003134
MI0000790	MI0003678
MI0000790	MI0000785
MI0000790	MI0002471
MI0000790	MI0003844
MI0000790	MI0014206
MI0000790	MI0002465
MI0000790	MI0000807
MI0003136	MI0003821
MI0003136	MI0000480
MI0003136	MI0000789
MI0003136	MI0003677
MI0003136	MI0003530
MI0003136	MI0001735
MI0003136	MI0000777
MI0003136	MI0003514
MI0003136	MI0003134
MI0003136	MI0003678
MI0003136	MI0000785
MI0003136	MI0002471
MI0003136	MI0003844
MI0003136	MI0014206
MI0003136	MI0002465
MI0003136	MI0000807
MI0003821	MI0000480
MI0003821	MI0000789
MI0003821	MI0003677
MI0003821	MI0003530
MI0003821	MI0001735
MI0003821	MI0000777
MI0003821	MI0003514
MI0003821	MI0003134
MI0003821	MI0003678
MI0003821	MI0000785
MI0003821	MI0002471
MI0003821	MI0003844
MI0003821	MI0014206
MI0003821	MI0002465
MI0003821	MI0000807
MI0000480	MI0000789
MI0000480	MI0003677
MI0000480	MI0003530
MI0000480	MI0001735
MI0000480	MI0000777
MI0000480	MI0003514
MI0000480	MI0003134
MI0000480	MI0003678
MI0000480	MI0000785
MI0000480	MI0002471
MI0000480	MI0003844
MI0000480	MI0014206
MI0000480	MI0002465
MI0000480	MI0000807
MI0000789	MI0003677
MI0000789	MI0003530
MI0000789	MI0001735
MI0000789	MI0000777
MI0000789	MI0003514
MI0000789	MI0003134
MI0000789	MI0003678
MI0000789	MI0000785
MI0000789	MI0002471
MI0000789	MI0003844
MI0000789	MI0014206
MI0000789	MI0002465
MI0000789	MI0000807
MI0003677	MI0003530
MI0003677	MI0001735
MI0003677	MI0000777
MI0003677	MI0003514
MI0003677	MI0003134
MI0003677	MI0003678
MI0003677	MI0000785
MI0003677	MI0002471
MI0003677	MI0003844
MI0003677	MI0014206
MI0003677	MI0002465
MI0003677	MI0000807
MI0003530	MI0001735
MI0003530	MI0000777
MI0003530	MI0003514
MI0003530	MI0003134
MI0003530	MI0003678
MI0003530	MI0000785
MI0003530	MI0002471
MI0003530	MI0003844
MI0003530	MI0014206
MI0003530	MI0002465
MI0003530	MI0000807
MI0001735	MI0000777
MI0001735	MI0003514
MI0001735	MI0003134
MI0001735	MI0003678
MI0001735	MI0000785
MI0001735	MI0002471
MI0001735	MI0003844
MI0001735	MI0014206
MI0001735	MI0002465
MI0001735	MI0000807
MI0000777	MI0003514
MI0000777	MI0003134
MI0000777	MI0003678
MI0000777	MI0000785
MI0000777	MI0002471
MI0000777	MI0003844
MI0000777	MI0014206
MI0000777	MI0002465
MI0000777	MI0000807
MI0003514	MI0003134
MI0003514	MI0003678
MI0003514	MI0000785
MI0003514	MI0002471
MI0003514	MI0003844
MI0003514	MI0014206
MI0003514	MI0002465
MI0003514	MI0000807
MI0003134	MI0003678
MI0003134	MI0000785
MI0003134	MI0002471
MI0003134	MI0003844
MI0003134	MI0014206
MI0003134	MI0002465
MI0003134	MI0000807
MI0003678	MI0000785
MI0003678	MI0002471
MI0003678	MI0003844
MI0003678	MI0014206
MI0003678	MI0002465
MI0003678	MI0000807
MI0000785	MI0002471
MI0000785	MI0003844
MI0000785	MI0014206
MI0000785	MI0002465
MI0000785	MI0000807
MI0002471	MI0003844
MI0002471	MI0014206
MI0002471	MI0002465
MI0002471	MI0000807
MI0003844	MI0014206
MI0003844	MI0002465
MI0003844	MI0000807
MI0014206	MI0002465
MI0014206	MI0000807
MI0002465	MI0000807
MI0000737	MI0000457
MI0000737	MI0000650
MI0000737	MI0001641
MI0000737	MI0000342
MI0000457	MI0000650
MI0000457	MI0001641
MI0000457	MI0000342
MI0000650	MI0001641
MI0000650	MI0000342
MI0001641	MI0000342
MI0003832	MI0006430
MI0003832	MI0003156
MI0003832	MI0003155
MI0003832	MI0003143
MI0003832	MI0003170
MI0003832	MI0003154
MI0003832	MI0003172
MI0003832	MI0003157
MI0003832	MI0003164
MI0003832	MI0003175
MI0003832	MI0003180
MI0003832	MI0003152
MI0003832	MI0003181
MI0003832	MI0003159
MI0003832	MI0003174
MI0003832	MI0003166
MI0003832	MI0003182
MI0003832	MI0003146
MI0003832	MI0003161
MI0003832	MI0003151
MI0003832	MI0003178
MI0003832	MI0003167
MI0003832	MI0003169
MI0003832	MI0003177
MI0003832	MI0003148
MI0003832	MI0003150
MI0003832	MI0003163
MI0003832	MI0003158
MI0003832	MI0003171
MI0003832	MI0003165
MI0003832	MI0003145
MI0003832	MI0003153
MI0003832	MI0003168
MI0003832	MI0003149
MI0003832	MI0003173
MI0003832	MI0003179
MI0003832	MI0003176
MI0003832	MI0003147
MI0003832	MI0003160
MI0003832	MI0003144
MI0003832	MI0003162
MI0006430	MI0003156
MI0006430	MI0003155
MI0006430	MI0003143
MI0006430	MI0003170
MI0006430	MI0003154
MI0006430	MI0003172
MI0006430	MI0003157
MI0006430	MI0003164
MI0006430	MI0003175
MI0006430	MI0003180
MI0006430	MI0003152
MI0006430	MI0003181
MI0006430	MI0003159
MI0006430	MI0003174
MI0006430	MI0003166
MI0006430	MI0003182
MI0006430	MI0003146
MI0006430	MI0003161
MI0006430	MI0003151
MI0006430	MI0003178
MI0006430	MI0003167
MI0006430	MI0003169
MI0006430	MI0003177
MI0006430	MI0003148
MI0006430	MI0003150
MI0006430	MI0003163
MI0006430	MI0003158
MI0006430	MI0003171
MI0006430	MI0003165
MI0006430	MI0003145
MI0006430	MI0003153
MI0006430	MI0003168
MI0006430	MI0003149
MI0006430	MI0003173
MI0006430	MI0003179
MI0006430	MI0003176
MI0006430	MI0003147
MI0006430	MI0003160
MI0006430	MI0003144
MI0006430	MI0003162
MI0003156	MI0003155
MI0003156	MI0003143
MI0003156	MI0003170
MI0003156	MI0003154
MI0003156	MI0003172
MI0003156	MI0003157
MI0003156	MI0003164
MI0003156	MI0003175
MI0003156	MI0003180
MI0003156	MI0003152
MI0003156	MI0003181
MI0003156	MI0003159
MI0003156	MI0003174
MI0003156	MI0003166
MI0003156	MI0003182
MI0003156	MI0003146
MI0003156	MI0003161
MI0003156	MI0003151
MI0003156	MI0003178
MI0003156	MI0003167
MI0003156	MI0003169
MI0003156	MI0003177
MI0003156	MI0003148
MI0003156	MI0003150
MI0003156	MI0003163
MI0003156	MI0003158
